"Assessment ID","Is Demo",Fishbone,Manufacturer,"Test System",Cartridge,"Matrix Id",Analytes,"Assessment Title","Part Number","Annually Price","Quarterly Price","Instrument System ID","Panel Assays","Product Group","Test Category",Status,"Variation Title","Display Sort",Device,??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,??lqc??,??EQC_ext??,??eqc_ext??,??EQC_int??,??eqc_int??,??CVC??,??cvc??,??Optics??,??optics??,"??Test personnel??","??test personnel??",??Calibrator??,??calibrator??,??Reagent??,??Eqc_int??,"??Consumable A??",??analyte??,Delete
20006,,,Abbott,"Main lab CC platform",Cartridge,"Matrix Id",??Analytes??,"Test Assay Panel",Q-1009015,199.000000,75.000000,8000111,"Test Assay 1; Test Assay 2; Test Assay 3; Test Assay 4","Product Group","Prabal Test Type 2",Active,1A_20006,1110,"Clinical Chemistry analyzer",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,,,,,,,,,,,,,,,,,,0
20012,Y,,Manufacturer,"ABL90 FLEX",Cartridge,"Matrix Id",??Analytes??,"Tuesday Assay Panel2",Q-1009013,199.000000,75.000000,8000111,"CA 125 II","Product Group",Type,,1A_20012,1,Device,??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,,,,,,,,,,,,,,,,,,0
20020,,,"Prabal Test Manufacturer","Prabal Test",Cartridge,"Matrix Id",??Analytes??,"Prabal Assay Panel Test3",Q-1009021,199.000000,75.000000,8000111,"Prabal Test Assay 1; Prabal Test Assay 2; Prabal Test Assay 4","Product Group","Prabal Test Type",Active,"Prabal Assay Panel Title",1100,"Prabal Test Device",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,,,,,,,,,,,,,,,,,,0
11100001,,,"QA Test Assay Panel 11","QA Test Assay Panel 11",Cartridge,"Matrix Id",??Analytes??,"QA Test Assay Panel 11",Q-1100001,199.000000,75.000000,8000111,"ABC; APF; CA 125 II","Product Group","Test Category",Active,"QA Test Assay Panel 11",1100,"Prabal Test Device",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,??lqc??,??EQC_ext??,??eqc_ext??,??EQC_int??,??eqc_int??,??CVC??,??cvc??,??Optics??,??optics??,"??Test personnel??","??test personnel??",??Calibrator??,??calibrator??,??Reagent??,??Eqc_int??1233,"??Consumable A??",??analyte??,0
11100002,Y,,"QA Test Assay Panel 12","QA Test Assay Panel 12",Cartridge,"Matrix Id",??Analytes??,"QA Test Assay Panel 12",Q-1100002,199.000000,75.000000,8000111,"CA 15-3; CA 19-9XR; CA 72-4*; CYFRA 21-1; CA 125 II","Product Group","Test Category",Active,"QA Test Assay Panel 12",1101,"Alinity i",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,??lqc??,??EQC_ext??,??eqc_ext??,??EQC_int??,??eqc_int??,??CVC??,??cvc??,??Optics??,??optics??,"??Test personnel??","??test personnel??",??Calibrator??,??calibrator??,??Reagent??,??Eqc_int??,"??Consumable A??",??analyte??,0
11100004,,,"QA Test Assay Panel 14","QA Test Assay Panel 14",Cartridge,"Matrix Id",??Analytes??,"QA Test Assay Panel 14",Q-1100004,199.000000,75.000000,8000111,"CA 15-3; CA 19-9XR; CA 72-4*","Product Group","Test Category",Active,"QA Test Assay Panel 14",1103,"Alinity i",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,??lqc??,??EQC_ext??,??eqc_ext??,??EQC_int??,??eqc_int??,??CVC??,??cvc??,??Optics??,??optics??,"??Test personnel??","??test personnel??",??Calibrator??,??calibrator??,??Reagent??,??Eqc_int??,"??Consumable A??",??analyte??,0
11100005,,,"QA Test Assay Panel 15","QA Test Assay Panel 15",Cartridge,"Matrix Id",??Analytes??,"QA Test Assay Panel 15",Q-1100005,199.000000,75.000000,8000111,"CA 19-9XR; CA 72-4*; CBD","Product Group","Test Category",Active,"QA Test Assay Panel 15",1104,"Alinity i",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,??lqc??,??EQC_ext??,??eqc_ext??,??EQC_int??,??eqc_int??,??CVC??,??cvc??,??Optics??,??optics??,"??Test personnel??","??test personnel??",??Calibrator??,??calibrator??,??Reagent??,??Eqc_int??,"??Consumable A??",,0
11100006,,,Medtronic,"ABL90 FLEX",Cartridge,"Matrix Id",??Analytes??,"Carepoint Admin",Q-1100006,199.000000,75.000000,20013,"AFP; ABC; CA 125 II; Prabal Test Assay 1","Product Group","Test Category",,"QA Test Assay Panel 16",1105,"ABL800 FLEX",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,,,,,,,,,,,,,,,,,,0
11100007,,,Radiometer,Test,Cartridge,"Matrix Id",??Analytes??,"Admin Product",Q-1100007,199.000000,75.000000,20016,"CA 72-4*; CBD","Product Group","Test Category",,"QA Test Assay Panel 17",1106,"ABL800 FLEX",??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,,,,,,,,,,,,,,,,,,0
